,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_45012538,NEU Home s-elect M | 56m² Wohnung mit 2 Zimmern in München,"['Etagenwohnung', '•', 'München', 'Aubing-Lochhausen-Langwied']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.180 €,Wohnfläche ca. 56 m²,Zi. 2,21,9
1,selObject_45012482,NEU Schöne 2-Zimmer-Wohnung Nähe Krankenhaus,"['Etagenwohnung', '•', 'Straubing', 'Straubing']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 410 €,Wohnfläche ca. 61 m²,Zi. 2,21,9
2,selObject_45012469,"NEU 3-Zimmer-Wohnung am SW-Bergl, Haylmannstr. 1","['Etagenwohnung', '•', 'Schweinfurt', 'Bergl']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 650 €,Wohnfläche ca. 78 m²,Zi. 3,21,9
3,selObject_45012467,NEU Attraktive 2 Zimmer Wohnung mit Balkon**WG möglich**,"['Etagenwohnung', '•', 'Würzburg', 'Heidingsfeld']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 650 €,Wohnfläche ca. 62 m²,Zi. 2,21,9
4,selObject_45012437,"NEU Ruhige, renovierte 2-ZIMMER-WHG WÖHRD","['Wohnung', '•', 'Nürnberg', 'Gärten', 'b', 'Wöhrd']","['NEU', 'NEU']",Miete zzgl. NK 380 €,Wohnfläche ca. 48 m²,Zi. 2,21,9
5,selObject_45012436,"NEU Renovierte, helle 2-Zimmer-Wohnung mit Gartenmitbenutz...","['Wohnung', '•', 'Nürnberg', 'Gibitzenhof']","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 500 €,Wohnfläche ca. 54 m²,Zi. 2,21,9
6,selObject_45012435,NEU Sehr schöne 2-Raum Wohnung im Erdgeschoss,"['Erdgeschosswohnung', '•', 'Nürnberg', 'Rosenau']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 590 €,Wohnfläche ca. 65 m²,Zi. 2,21,9
7,selObject_45012429,NEU Sehr schöne 2 Zimmer Wohnung,"['Etagenwohnung', '•', 'Nürnberg', 'Rosenau']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 425 €,Wohnfläche ca. 43 m²,Zi. 2,21,9
8,selObject_45012419,NEU 4-Zimmer-Wohnung mit Balkon im 1. Obergeschoss,"['Wohnung', '•', 'Arnstein', 'Arnstein']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 650 €,Wohnfläche ca. 82 m²,Zi. 4,21,9
9,selObject_45012393,NEU Lichtdurchflutet und ruhig! Gemütliche 2-ZW mit sonnig...,"['Wohnung', '•', 'Nürnberg', 'Erlenstegen']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 650 €,Wohnfläche ca. 53 m²,Zi. 2,21,9
10,selObject_45012380,NEU Weniger als 5 Gehminuten von der Fußgängerzone entfern...,"['Wohnung', '•', 'Erlangen', 'Burgberg']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 365 €,Wohnfläche ca. 20 m²,Zi. 1,21,9
11,selObject_45012370,NEU Wohnung/Gewerbefläche/Büro in Weilbach,"['Dachgeschosswohnung', '•', 'Weilbach', 'Weilbach']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 420 €,Wohnfläche ca. 70 m²,Zi. 3,21,9
12,selObject_45012366,"NEU *** Moderne 2,5-Zimmer-Wohnung mit traumhaftem Garten...","['Etagenwohnung', '•', 'Bessenbach', 'Keilberg']","['NEU', 'NEU']",Miete zzgl. NK 950 €,Wohnfläche ca. 117 m²,"Zi. 2,5",21,9
13,selObject_45012344,"NEU Möblierte sehr schöne, sonnige 1,5 Zimmer- Singlewohnu...","['Wohnung', '•', 'München', 'Trudering-Riem']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 895 €,Wohnfläche ca. 43 m²,"Zi. 1,5",21,9
14,selObject_45012316,NEU 1 Zimmer Wohnung ruhig gelegen zentral beim HBF,"['Apartment', '•', 'Nürnberg', 'Galgenhof']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 340 €,Wohnfläche ca. 25 m²,Zi. 1,21,9
15,selObject_45012313,NEU Zentral und gemütlich (Zollhausviertel),"['Wohnung', '•', 'Erlangen', 'Innenstadt']","['NEU', 'NEU']",Miete zzgl. NK 220 €,Wohnfläche ca. 15 m²,Zi. 1,21,9
16,selObject_45012270,NEU Möbliertes Apartment,"['Erdgeschosswohnung', '•', 'München', 'Untergiesing-Harlaching']","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 680 €,Wohnfläche ca. 33 m²,Zi. 1,21,9
17,selObject_45012257,NEU Schöne Altbauwohnung Nürnberg Nord / Beautiful histori...,"['Wohnung', '•', 'Nürnberg', 'Gärten', 'h', 'd', 'Veste']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 840 €,Wohnfläche ca. 57 m²,"Zi. 2,5",21,9
18,selObject_45012235,NEU Wunderschöne 4 Zi. Wohnung am Naherholungsgebiet 1170....,"['Wohnung', '•', 'Ingolstadt', 'Haunwöhr']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.170 €,Wohnfläche ca. 126 m²,Zi. 4,21,9
19,selObject_45012225,"NEU Gemütliche - vollmöblierte - 1,5 Zi. Dachgeschoss Wohn...","['Dachgeschosswohnung', '•', 'Fürth', 'Oberfürberg']","['NEU', 'NEU']",Miete zzgl. NK 450 €,Wohnfläche ca. 50 m²,"Zi. 1,5",21,9
20,selObject_45012219,NEU [Lichtdurchflutete|Gemütliche|Charmante] 2-Raum-Wohnun...,"['Wohnung', '•', 'Augsburg', 'Göggingen']","['NEU', 'NEU']",Miete zzgl. NK 650 €,Wohnfläche ca. 60 m²,Zi. 2,21,9
21,selObject_45012176,NEU 2-Zimmer Wohnung mit Balkon,"['Wohnung', '•', 'Ismaning', 'Ismaning']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 1.051 €,Wohnfläche ca. 46 m²,Zi. 2,21,9
22,selObject_45012163,"NEU Schicke 2 Zimmer Wohnung mit Aufzug, Einbauküche und...","['Etagenwohnung', '•', 'Ingolstadt', 'Friedrichshofen']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 600 €,Wohnfläche ca. 60 m²,Zi. 2,21,9
23,selObject_45012147,NEU NEU - 3 Zimmer Wohnung im Herzen Nürnbergs - Weißer...,"['Etagenwohnung', '•', 'Nürnberg', 'Lorenz']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 695 €,Wohnfläche ca. 74 m²,Zi. 3,21,9
24,selObject_45012103,NEU *Wohnberechtigungsschein* 3-Zi.-Whg. mit Balkon Senior...,"['Etagenwohnung', '•', 'Niederwerrn', 'Niederwerrn']","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 450 €,Wohnfläche ca. 67 m²,Zi. 3,21,9
