,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_43552510,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
1,selObject_43552509,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
2,selObject_43552508,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
3,selObject_43552505,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
4,selObject_43552478,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Erdgeschosswohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
5,selObject_43552477,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Erdgeschosswohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 114 m²,Zi. 3,111,3
6,selObject_43552476,Exklusives Wohnen in der Schulenburgallee | 2 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 83 m²,Zi. 2,111,3
7,selObject_43552475,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
8,selObject_43552474,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
9,selObject_43552473,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Penthouse', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 170 m²,Zi. 3,111,3
10,selObject_43552472,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
11,selObject_43552471,Exklusives Wohnen in der Schulenburgallee | 2 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 83 m²,Zi. 2,111,3
12,selObject_43552470,Penthouse über den Dächern der Stadt | Exklusives Wohn...,"[['Penthouse', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 158 m²,Zi. 3,111,3
13,selObject_43552467,Exklusives Wohnen in der Schulenburgallee | 2 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 82 m²,Zi. 2,111,3
14,selObject_43552462,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
15,selObject_43552458,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 120 m²,Zi. 3,111,3
16,selObject_43552456,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 118 m²,Zi. 3,111,3
17,selObject_43552455,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Erdgeschosswohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
18,selObject_43552453,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
19,selObject_43552452,Penthouse über den Dächern der Stadt | Exklusives Wohn...,"[['Penthouse', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 159 m²,Zi. 3,111,3
20,selObject_43552450,Exklusives Wohnen in der Schulenburgallee | 3 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 119 m²,Zi. 3,111,3
21,selObject_43552449,Exklusives Wohnen in der Schulenburgallee | 2 Zimmer...,"[['Etagenwohnung', '•', 'Wolfsburg', 'Tiergartenbreite']]","['Balkon', 'Garten']",Garagen-/Stellplatzmiete 80 €,Wohnfläche ca. 83 m²,Zi. 2,111,3
